,Date,Internal_Number,InfoCode,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,Full_Mcap_Units_Index_Currency,Free_Float,Capfactor,FOR_FF,Weight
3538,1998-03-23,KR1FI9,44213.0,,6589484,HBE ENERGY,KR,KRW,0.0,2437957.0,34827958.550000004,0.07,1.0,0.07,1.169832349451198e-05
3604,1998-03-23,KR91M7,25201.0,,6245140,NEXT SCIENCE,KR,KRW,0.0,2330559.0,25895100.000000004,0.09,1.0,0.09,1.1182983582174067e-05
3693,1998-03-23,KR01AM,40500.0,,6450988,HYUNDAI ENGR.& CON.,KR,KRW,0.0,53904791.0,414652238.00000006,0.13,1.0,0.13,0.0002586574262885
3837,1998-03-23,MY21XK,34423.0,,6870605,YTL LAND & DEVELOPMENT,MY,MYR,0.0,2255488.0,25060977.307184003,0.09,1.0,0.09,1.0822761952729206e-05
3843,1998-03-23,MY140P,35990.0,,6512598,LEONG HUP HOLDINGS,MY,MYR,0.0,5051125.0,38854804.042288005,0.13,1.0,0.13,2.423738165243145e-05
3897,1998-03-23,MY11CY,41806.0,,6502005,KONSORTIUM LOGISTIK,MY,MYR,0.0,27111861.0,208552769.171968,0.13,1.0,0.13,0.0001300938944026
4101,1998-03-23,PH04MW,35099.0,,6744722,ROBINSONS LAND,PH,PHP,0.0,10943051.0,121589525.622474,0.09,1.0,0.09,5.2509273385438224e-05
4487,1998-03-23,CN8BAS,30058.0,,6673633,SILK ROAD LOGISTICS HOLDINGS,CN,HKD,0.0,48367218.0,483672640.78189063,0.1,1.0,0.1,0.000232085866442
4506,1998-03-23,ID00MH,25537.0,ID1000096803,6173229,KALBE FARMA,ID,IDR,0.0,906984.0,45349200.0,0.02,1.0,0.02,4.352083419168777e-06
4551,1998-03-23,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,37661262.0,418458465.5976,0.09,1.0,0.09,0.000180714272683
4602,1998-03-23,AR4027,620.0,,2186771,ENEL GENERACION COSTANERA,AR,ARS,0.0,9052709.0,452635473.83261085,0.02,1.0,0.02,4.343863258608747e-05
4935,1998-06-22,KR135K,25452.0,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,732258.0,73225800.0,0.01,1.0,0.01,4.259979900921752e-06
4942,1998-06-22,KR02T6,41528.0,,6075552,BUSAN BANK,KR,KRW,0.0,5426032.0,41738706.0,0.13,1.0,0.13,3.1566452345700904e-05
4958,1998-06-22,KR01P1,24884.0,,6896452,TONGYANG,KR,KRW,0.0,1011691.0,16861518.312000003,0.06,1.0,0.06,5.885607703764831e-06
5042,1998-06-22,KR1FI9,44213.0,,6589484,HBE ENERGY,KR,KRW,0.0,1202046.0,17172089.031,0.07,1.0,0.07,6.993015849582234e-06
5129,1998-06-22,KR91M7,25201.0,,6245140,NEXT SCIENCE,KR,KRW,0.0,1311603.0,14573370.000000002,0.09,1.0,0.09,7.63037401843158e-06
5149,1998-06-22,KR1DNC,44473.0,,6109257,COMTEC SYSTEMS,KR,KRW,0.0,823790.0,27459675.0,0.03,1.0,0.03,4.792475934138418e-06
5173,1998-06-22,KR00R2,31825.0,,6495042,KOREA EXCHANGE BANK,KR,KRW,0.0,31769229.0,352991430.0,0.09,1.0,0.09,0.000184820482682
5181,1998-06-22,ID10ZV,31869.0,,6675651,PIONEERINDO GMT.INTL.,ID,IDR,0.0,16938.0,1693840.0000000002,0.01,1.0,0.01,9.853841072656445e-08
5184,1998-06-22,ID00MH,25537.0,ID1000096803,6173229,KALBE FARMA,ID,IDR,0.0,250798.0,12539880.000000002,0.02,1.0,0.02,1.4590409926438132e-06
5362,1998-06-22,MY21XK,34423.0,,6870605,YTL LAND & DEVELOPMENT,MY,MYR,0.0,546701.0,10934028.04032,0.05,1.0,0.05,3.180484572123244e-06
5372,1998-06-22,MY140P,35990.0,,6512598,LEONG HUP HOLDINGS,MY,MYR,0.0,2489241.0,19148009.830399998,0.13,1.0,0.13,1.4481394028539617e-05
5518,1998-06-22,PH04MW,35099.0,,6744722,ROBINSONS LAND,PH,PHP,0.0,8051157.0,89457332.28705001,0.09,1.0,0.09,4.683836434585278e-05
5579,1998-06-22,CN8BAS,30058.0,,6673633,SILK ROAD LOGISTICS HOLDINGS,CN,HKD,0.0,18350143.0,183501698.91717324,0.1,1.0,0.1,0.0001067536856668
5611,1998-06-22,TH204G,2206.0,,6074980,BANGCHAK CORPORATION ORS,TH,THB,0.0,5563089.0,75658004.30399999,0.2,0.3676471,0.07,3.236379435532133e-05
5702,1998-06-22,IN13MV,5164.0,,6462574,INDIAN PETROCHEM.,IN,INR,0.0,28834898.0,300363510.79985374,0.4,0.24,0.1,0.0001677497356466
5819,1998-06-22,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,29019779.0,322441991.19,0.09,1.0,0.09,0.0001688252982817
6279,1998-09-21,KR135K,25452.0,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,7403898.0,61699152.00000001,0.12,1.0,0.12,5.7319612094433113e-05
6340,1998-09-21,KR03M0,41559.0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,4065690.0,81313802.165,0.05,1.0,0.05,3.147582174905918e-05
6437,1998-09-21,HU105H,45370.0,,5259238,LINAMAR HUNGARY,HU,HUF,0.0,7006713.0,87583916.904,0.08,1.0,0.08,5.424467911592268e-05
6584,1998-09-21,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,15897561.0,176639572.0224,0.09,1.0,0.09,0.0001230759837274
6594,1998-09-21,IL119E,23919.0,,6381334,GRANITE,IL,ILS,0.0,28739463.0,261267845.34902832,0.11,1.0,0.11,0.0002224956193294
6971,1998-12-21,IN127F,26567.0,,6135906,INGERSOLL-RAND (INDIA),IN,INR,0.0,20642730.0,330813008.17774266,0.26,0.24,0.06,0.0001468674891021
6991,1998-12-21,MY11UG,35184.0,,6502458,IOI PROPERTIES,MY,MYR,0.0,10230796.0,93007233.785216,0.11,1.0,0.11,7.278937039993923e-05
7088,1998-12-21,KR135K,25452.0,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,11469060.0,95575500.0,0.12,1.0,0.12,8.15992867494501e-05
7157,1998-12-21,KR03M0,41559.0,,6451066,HYUNDAI MIPO DOCKYARD,KR,KRW,0.0,5949663.0,118993256.25,0.05,1.0,0.05,4.233025698702366e-05
7217,1998-12-21,TR103O,42280.0,,5085778,BOYNER BUYUK MAGAZACILIK LTD.,TR,TRY,0.0,610570.0,61057037.745000005,0.01,1.0,0.01,4.34404184044828e-06
7233,1998-12-21,TH203F,2187.0,,6475334,JASMINE INTERNATIONAL,TH,THB,0.0,5628896.0,76583614.79714037,0.15,0.49,0.07,4.00480857879227e-05
7270,1998-12-21,BR04DJ,42262.0,,2667771,CMPBRA.DE DISTB. PN,BR,BRL,0.0,48616150.0,441964997.5887729,0.11,1.0,0.11,0.0003458908720073
7405,1998-12-21,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,19134635.0,212606917.155,0.09,1.0,0.09,0.0001361377975362
7415,1998-12-21,IL119E,23919.0,,6381334,GRANITE,IL,ILS,0.0,17103218.0,155483805.14775386,0.11,1.0,0.11,0.0001216848102564
7841,1999-03-22,MY11UG,35184.0,,6502458,IOI PROPERTIES,MY,MYR,0.0,10439590.0,94905359.9656,0.11,1.0,0.11,5.731377661577422e-05
7946,1999-03-22,KR135K,25452.0,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,11239516.0,86457816.0,0.13,1.0,0.13,6.170540311385984e-05
7965,1999-03-22,KR15K1,25362.0,,6499334,KWANG DONG PHARM.,KR,KRW,0.0,9490860.0,79090501.14,0.12,1.0,0.12,5.210521006395719e-05
8095,1999-03-22,TH117J,35054.0,,6791795,KGI SECURITIES,TH,THB,0.0,15844139.0,158441409.86195695,0.1,1.0,0.1,8.698497194959536e-05
8133,1999-03-22,BR04DJ,42262.0,,2667771,CMPBRA.DE DISTB. PN,BR,BRL,0.0,46323867.0,421126060.74,0.11,1.0,0.11,0.0002543199268569
8188,1999-03-22,534025,44979.0,,5340251,FOLLI-FOLLIE,GR,EUR,0.0,16934994.0,282249896.4441024,0.06,1.0,0.06,9.29738105716294e-05
8300,1999-03-22,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,18870566.0,209673093.0294,0.09,1.0,0.09,0.000103600180116
8706,1999-06-21,IN14GQ,31699.0,,6135962,CAROL INFO SERVICES,IN,INR,0.0,19328875.0,206505093.36383998,0.39,0.24,0.09,8.355840952316947e-05
8719,1999-06-21,IN01CI,41381.0,,6155915,ACC,IN,INR,0.0,93965629.0,721871303.1350622,0.32,0.4067797,0.13,0.0004062118726042
8839,1999-06-21,BR04DJ,42262.0,,2667771,CMPBRA.DE DISTB. PN,BR,BRL,0.0,52616638.0,478333068.576,0.11,1.0,0.11,0.0002274608628663
8867,1999-06-21,KR135K,25452.0,,6113526,SAM YOUNG ELTN.,KR,KRW,0.0,17534088.0,134877600.0,0.13,1.0,0.13,7.57995747667307e-05
8881,1999-06-21,KR00GR,40852.0,,6490928,KIA CORPORATION,KR,KRW,0.0,189961200.0,2110680000.0,0.09,1.0,0.09,0.0008211991511721
8957,1999-06-21,ID4076,35120.0,,6077581,BANK MAYBANK INDONESIA,ID,IDR,0.0,191737269.0,2130414096.3839998,0.09,1.0,0.09,0.0008288770683216
8967,1999-06-21,PH1108,44516.0,,6325279,EQUITABLE PCI BANK,PH,PHP,0.0,100971241.0,917920360.789536,0.11,1.0,0.11,0.000436497018349
9041,1999-06-21,TR103O,42280.0,,5085778,BOYNER BUYUK MAGAZACILIK LTD.,TR,TRY,0.0,680701.0,68070123.7425,0.01,1.0,0.01,2.942659255690307e-06
9126,1999-06-21,534025,44979.0,,5340251,FOLLI-FOLLIE,GR,EUR,0.0,21435514.0,357258571.432356,0.06,1.0,0.06,9.266537535948848e-05
9196,1999-06-21,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,18777328.0,208636974.71999997,0.09,1.0,0.09,8.117408089063006e-05
9620,1999-09-20,IN15Y9,45602.0,,6143460,D S Q SOFTWARE,IN,INR,0.0,8138644.0,116266343.970276,0.07,1.0,0.07,3.151851139957981e-05
9661,1999-09-20,MY21OB,34379.0,,6436450,HONG LEONG FINL.GP.,MY,MYR,0.0,13412883.0,447096096.47857755,0.03,1.0,0.03,5.194404691208145e-05
9724,1999-09-20,BR04DJ,42262.0,,2667771,CMPBRA.DE DISTB. PN,BR,BRL,0.0,76040539.0,691277630.7918,0.11,1.0,0.11,0.0002944820531899
9961,1999-09-20,534025,44979.0,,5340251,FOLLI-FOLLIE,GR,EUR,0.0,41491758.0,691529294.7159367,0.06,1.0,0.06,0.0001606850536172
9969,1999-09-20,GR11KT,43884.0,,5196993,ALCO HES.ALUM.INDL.&. TRDG.,GR,EUR,0.0,90680132.0,647715228.862548,0.14,1.0,0.14,0.000351176777625
10004,1999-09-20,GR133E,160431.0,,4974918,INTERSAT,GR,EUR,0.0,20134629.0,335577149.0586901,0.06,1.0,0.06,7.797534007665283e-05
10158,1999-09-20,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,7809540.0,195238369.0026,0.04,1.0,0.04,3.0243990954202503e-05
10694,1999-12-20,MY21OB,34379.0,,6436450,HONG LEONG FINL.GP.,MY,MYR,0.0,18177988.0,605932943.9181333,0.03,1.0,0.03,6.657596786160731e-05
10767,1999-12-20,ZA20ZA,46622.0,,6701749,PPC,ZA,ZAR,0.0,48963474.0,408028962.244582,0.12,1.0,0.12,0.0001793262637986
10885,1999-12-20,GR11KT,43884.0,,5196993,ALCO HES.ALUM.INDL.&. TRDG.,GR,EUR,0.0,45389017.0,324207261.63585764,0.14,1.0,0.14,0.0001662349946023
10932,1999-12-20,534025,44979.0,,5340251,FOLLI-FOLLIE,GR,EUR,0.0,33586457.0,559774275.714192,0.06,1.0,0.06,0.0001230087115151
10965,1999-12-20,728887,3564.0,,4067807,BANK BPH,PL,PLN,0.0,12711606.0,635580299.3804,0.02,1.0,0.02,4.655561839546899e-05
11042,1999-12-20,TH20CO,2883.0,,6173058,CH KARNCHANG,TH,THB,0.0,7764705.0,58601550.0,0.53,0.25,0.13,2.8437841995212094e-05
11049,1999-12-20,TH11IU,40828.0,,6056405,INDL.& CMLBK.OF CHIN. (THAI),TH,THB,0.0,987788.0,27070567.439999998,0.07,0.5212766,0.04,3.6177239275370496e-06
11067,1999-12-20,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,8748716.0,218717895.2112,0.04,1.0,0.04,3.204173284999031e-05
11632,2000-03-20,MY21OB,34379.0,,6436450,HONG LEONG FINL.GP.,MY,MYR,0.0,28243655.0,941455176.72384,0.03,1.0,0.03,0.0001009897542629
11819,2000-03-20,GR11KT,43884.0,,5196993,ALCO HES.ALUM.INDL.&. TRDG.,GR,EUR,0.0,34328491.0,245203504.75351495,0.14,1.0,0.14,0.0001227470690428
11848,2000-03-20,534025,44979.0,,5340251,FOLLI-FOLLIE,GR,EUR,0.0,100423794.0,717312816.33837,0.14,1.0,0.14,0.0003590815097483
11896,2000-03-20,728887,3564.0,,4067807,BANK BPH,PL,PLN,0.0,13173401.0,658670038.774,0.02,1.0,0.02,4.710362486006199e-05
12005,2000-03-20,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,9059911.0,226497782.40120003,0.04,1.0,0.04,3.239517638683808e-05
12347,2000-06-19,IN086J,40815.0,,6124960,PFIZER,IN,INR,0.0,24381489.0,282193163.9137778,0.36,0.24,0.09,0.0001002383523923
12432,2000-06-19,IL0058,3024.0,,6889678,ISRAEL CORPORATION LTD.,IL,ILS,0.0,27637426.0,921247517.0807999,0.03,1.0,0.03,0.0001136243174731
12589,2000-06-19,MY21OB,34379.0,,6436450,HONG LEONG FINL.GP.,MY,MYR,0.0,19950450.0,665014969.5687159,0.03,1.0,0.03,8.202125134707772e-05
12661,2000-06-19,ZA20ZA,46622.0,,6701749,PPC,ZA,ZAR,0.0,37642049.0,342200455.417038,0.11,1.0,0.11,0.0001547558056208
12852,2000-06-19,728887,3564.0,,4067807,BANK BPH,PL,PLN,0.0,20104526.0,670150876.6259999,0.03,1.0,0.03,8.265469602238842e-05
12934,2000-06-19,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,7133219.0,178330480.8372,0.04,1.0,0.04,2.932643366504266e-05
13280,2000-09-18,IL0058,3024.0,,6889678,ISRAEL CORPORATION LTD.,IL,ILS,0.0,31124879.0,1037495980.2636,0.03,1.0,0.03,0.0001283054405245
13285,2000-09-18,IL205A,3148.0,,6026099,HADERA PAPER,IL,ILS,0.0,32316382.0,269303181.5034,0.12,1.0,0.12,0.0001332171485283
13313,2000-09-18,MY21OB,34379.0,,6436450,HONG LEONG FINL.GP.,MY,MYR,0.0,21012735.0,700424482.2366493,0.03,1.0,0.03,8.662035989923011e-05
13352,2000-09-18,MY23K9,41951.0,,6258074,DIALOG GROUP,MY,MYR,0.0,13044672.0,186352461.694786,0.07,1.0,0.07,5.377377972964537e-05
13409,2000-09-18,MY21VI,34420.0,,6836180,BERJAYA LAND,MY,MYR,0.0,32590123.0,232786571.38845134,0.14,1.0,0.14,0.0001343455853519
13673,2000-09-18,KR04BQ,19939.0,,6195256,UNISON,KR,KRW,0.0,1851738.0,61724592.0,0.03,1.0,0.03,7.633380994862427e-06
13693,2000-09-18,KR15S9,38976.0,,6166984,G2R,KR,KRW,0.0,12000979.0,120009787.92,0.1,1.0,0.1,4.947138581070492e-05
13880,2000-09-18,626376,26360.0,,6263766,DENWAY MOTORS,CN,HKD,0.0,39191416.0,356285650.0942304,0.11,1.0,0.11,0.0001615579580135
13949,2000-09-18,ZA12S4,85377.0,,6175225,PRISM,ZA,ZAR,0.0,17765107.0,197390088.5799847,0.09,1.0,0.09,7.323273062684758e-05
14014,2000-09-18,414933,6558.0,,4149330,BUDIMEX,PL,PLN,0.0,11684354.0,83459671.05627236,0.14,1.0,0.14,4.816616916693657e-05
14042,2000-09-18,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,5297673.0,132441812.8992,0.04,1.0,0.04,2.1838487083591644e-05
14410,2000-12-18,IL0058,3024.0,,6889678,ISRAEL CORPORATION LTD.,IL,ILS,0.0,132956303.0,1022740788.8736,0.13,1.0,0.13,0.0006872184318963
14418,2000-12-18,IL205A,3148.0,,6026099,HADERA PAPER,IL,ILS,0.0,26777638.0,223146982.24218,0.12,1.0,0.12,0.0001384070253235
14424,2000-12-18,MY23K9,41951.0,,6258074,DIALOG GROUP,MY,MYR,0.0,13900547.0,173756823.32381746,0.08,1.0,0.08,7.184850884310381e-05
14461,2000-12-18,MY21OB,34379.0,,6436450,HONG LEONG FINL.GP.,MY,MYR,0.0,18364072.0,612135680.4708734,0.03,1.0,0.03,9.4919371841079e-05
14510,2000-12-18,MY21VI,34420.0,,6836180,BERJAYA LAND,MY,MYR,0.0,29239744.0,208855300.1771059,0.14,1.0,0.14,0.000151133045725
14547,2000-12-18,BR03DI,27636.0,,2581138,METALURGICA GERDAU PN,BR,BRL,0.0,15900848.0,227154977.27999997,0.07,1.0,0.07,8.218757277255705e-05
14549,2000-12-18,BR13Z5,78060.0,,2683788,PETROBRAS DISB.PN   1000,BR,BRL,0.0,50450568.0,420421398.4088336,0.12,1.0,0.12,0.0002607665785445
14679,2000-12-18,ID120Y,106774.0,,6052469,BANK UNIVERSAL,ID,IDR,0.0,14239782.0,142397816.40448,0.1,1.0,0.1,7.360193112910381e-05
14739,2000-12-18,KR04BQ,19939.0,,6195256,UNISON,KR,KRW,0.0,1478882.0,49296060.0,0.03,1.0,0.03,7.643977352467284e-06
14818,2000-12-18,KR15S9,38976.0,,6166984,G2R,KR,KRW,0.0,5587111.0,55871108.73,0.1,1.0,0.1,2.8878402705368544e-05
15026,2000-12-18,626376,26360.0,,6263766,DENWAY MOTORS,CN,HKD,0.0,56159404.0,510539891.4880193,0.11,1.0,0.11,0.0002902741478387
15063,2000-12-18,ZA00T2,46765.0,,6688068,PICK N PAY STORES,ZA,ZAR,0.0,99617638.0,830147012.0712608,0.12,1.0,0.12,0.0005148990715812
15145,2000-12-18,TH11AM,31808.0,,6885687,TT&T,TH,THB,0.0,5085325.0,103782150.0,0.1,0.49,0.05,2.6284794276984703e-05
15164,2000-12-18,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,3915687.0,97892180.54280001,0.04,1.0,0.04,2.023922310728683e-05
15557,2001-03-19,IL205A,3148.0,,6026099,HADERA PAPER,IL,ILS,0.0,26763561.0,205873545.0099,0.13,1.0,0.13,0.0001462546721027
15602,2001-03-19,MY21OB,34379.0,,6436450,HONG LEONG FINL.GP.,MY,MYR,0.0,14761886.0,492062851.21021676,0.03,1.0,0.03,8.066919034236701e-05
15688,2001-03-19,BR03DI,27636.0,,2581138,METALURGICA GERDAU PN,BR,BRL,0.0,15022168.0,214602393.87472764,0.07,1.0,0.07,8.209155183470559e-05
15689,2001-03-19,BR13Z5,78060.0,,2683788,PETROBRAS DISB.PN   1000,BR,BRL,0.0,55675067.0,463958887.33654606,0.12,1.0,0.12,0.0003042472064306
15886,2001-03-19,KR04BQ,19939.0,,6195256,UNISON,KR,KRW,0.0,1775679.0,59189292.0,0.03,1.0,0.03,9.703542436104977e-06
16069,2001-03-19,626376,26360.0,,6263766,DENWAY MOTORS,CN,HKD,0.0,82354210.0,748674557.4784663,0.11,1.0,0.11,0.0004500405599924
16071,2001-03-19,CN8AVC,41822.0,,6903556,TINGYI CYMN.ISLE.HLDG.,CN,HKD,0.0,64779056.0,809738108.1272615,0.08,1.0,0.08,0.0003539977207968
16195,2001-03-19,TH11AM,31808.0,,6885687,TT&T,TH,THB,0.0,9761400.0,97614049.51846124,0.1,1.0,0.1,5.334306433527405e-05
16215,2001-03-19,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,4696017.0,117400431.0024,0.04,1.0,0.04,2.56622960795112e-05
16610,2001-06-18,IL205A,3148.0,,6026099,HADERA PAPER,IL,ILS,0.0,23206611.0,178512395.50917,0.13,1.0,0.13,0.0001272000456025
16938,2001-06-18,KR04BQ,19939.0,,6195256,UNISON,KR,KRW,0.0,2453425.0,81780840.0,0.03,1.0,0.03,1.3447709873814482e-05
17148,2001-06-18,ZA11T4,48769.0,,6116406,ALLIED TECHNOLOGIES,ZA,ZAR,0.0,46041819.0,328870142.3272223,0.14,1.0,0.14,0.0002523643575714
17249,2001-06-18,TH11AM,31808.0,,6885687,TT&T,TH,THB,0.0,11912670.0,119126682.62735625,0.1,1.0,0.1,6.52957110906156e-05
17270,2001-06-18,CL01US,27513.0,,2456560,EMPRESAS IANSA,CL,CLP,0.0,3784180.0,94604494.8816,0.04,1.0,0.04,2.0741842424484663e-05
17590,2001-09-24,IL205A,3148.0,,6026099,HADERA PAPER,IL,ILS,0.0,15653521.0,120411702.52371,0.13,1.0,0.13,0.0001191929738817
17597,2001-09-24,IL0058,3024.0,,6889678,ISRAEL CORPORATION LTD.,IL,ILS,0.0,5440491.0,544049113.0668353,0.01,1.0,0.01,4.142635396004086e-05
17886,2001-09-24,ZA11T4,48769.0,,6116406,ALLIED TECHNOLOGIES,ZA,ZAR,0.0,33846058.0,241757556.75784674,0.14,1.0,0.14,0.0002577191615352
18344,2001-12-24,IL0058,3024.0,,6889678,ISRAEL CORPORATION LTD.,IL,ILS,0.0,6470127.0,647012726.0608,0.01,1.0,0.01,3.900063890248382e-05
