,Date,Index_Symbol,Index_Name,Index_ISIN,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Float,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,Instrument_Name,Country,Currency,Exchange,ICB,outNoShares_Review,Free_Float_Review,close_Review,Mcap_Units_Index_Currency,Weight,Cutoff,close_Cutoff,Free_Float_Cutoff,outNoShares_Cutoff,ADTV_3M_USD_Cutoff,Market_Cap_USD_Cutoff,Rank,Prev_Comp,New_Rank
10,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,EBAY,US2786421030,2293819,EBAY.OQ,eBay Inc.,US,USD,NASDAQ,5377.0,1305366806,0.8893,29.6,34361535937.0,0.01499363506927172,2010-11-30,29.13,0.8893,1305366806.0,402709933.8,38025335058.78,11,True,
11,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,GMH,US25490A1016,B42SH20,DTV.OQ,DIRECTV Group Inc.,US,USD,NASDAQ,5553.0,833722851,1.0,39.79,33173832241.0,0.014475381292115215,2010-11-30,41.53,1.0,866787293.0,298592630.6,35997676278.29,12,True,
13,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,GILD,US3755581036,2369174,GILD.OQ,Gilead Sciences Inc.,US,USD,NASDAQ,4573.0,811867667,1.0,37.19,30193358536.0,0.013174853424319564,2010-11-30,36.53,1.0,838632586.0,334301424.1,30635248366.58,13,True,
12,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,PCCW,US22160K1051,2701271,COST.OQ,Costco Wholesale Corp.,US,USD,NASDAQ,5373.0,432333947,1.0,72.3,31257744368.0,0.013639297527376283,2010-11-30,67.6,1.0,439333060.0,234576188.8,29698914855.999996,14,True,
14,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ESRX,US3021821000,2326469,ESRX.OQ,Express Scripts Inc.,US,USD,NASDAQ,4533.0,526211000,0.9274,55.26,26967326578.0,0.011767176363877804,2010-11-30,52.09,0.9274,542412000.0,192197061.2,28254241080.0,15,True,
15,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CELG,US1510201049,2182348,CELG.OQ,Celgene Corp.,US,USD,NASDAQ,4573.0,470640374,1.0,59.27,27894854967.0,0.012171902805866696,2010-11-30,59.38,1.0,460283597.0,165912583.2,27331639989.86,16,True,
17,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,DELL,US24702R1014,2261526,DELL.OQ,Dell Inc.,US,USD,NASDAQ,9572.0,1958355807,0.869,13.365,22744706638.0,0.00992463875052228,2010-11-30,13.23,0.8812,1958355807.0,321950847.8,25909047326.61,17,True,
16,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,NWSA,US65248E1047,B03DQ41,NWSA.OQ,News Corp. Cl A,US,USD,NASDAQ,5553.0,1814845689,1.0,14.43,26188223292.0,0.011427215124282112,2010-11-30,13.63,1.0,1814845689.0,235852153.2,24736346741.07,18,True,
18,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,SBUX,US8552441094,2842255,SBUX.OQ,Starbucks Corp.,US,USD,NASDAQ,5757.0,743400000,1.0,32.92,24472728000.0,0.01067865980887186,2010-11-30,30.6,1.0,743400000.0,201045523.8,22748040000.0,19,True,
19,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,AUD,US0530151036,2065308,ADP.OQ,Automatic Data Processing Inc.,US,USD,NASDAQ,2795.0,493211855,1.0,46.75,23057654221.0,0.01006119323586064,2010-11-30,44.59,1.0,501642166.0,116237245.7,22368224181.940002,20,True,
22,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,YHOO,US9843321061,2986539,YHOO.OQ,Yahoo! Inc.,US,USD,NASDAQ,9535.0,1303499916,0.9378,16.28,19901033762.0,0.008683803840310379,2010-11-30,15.77,0.9378,1348278127.0,378025459.5,21262346062.79,21,True,
24,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,BRCM,US1113201073,2235822,BRCM.OQ,Broadcom Corp.,US,USD,NASDAQ,9576.0,456500000,1.0,43.8,19994700000.0,0.008724675045644694,2010-11-30,44.48,1.0,448300000.0,350132356.5,19940384000.0,22,True,
23,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,PCAR,US6937181088,2665861,PCAR.OQ,Paccar Inc.,US,USD,NASDAQ,2753.0,362680340,1.0,56.73,20574855688.0,0.008977825623231876,2010-11-30,53.85,1.0,362680340.0,126573222.3,19530336309.0,23,True,
20,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CTSH,US1924461023,2257019,CTSH.OQ,Cognizant Technology Solutions,US,USD,NASDAQ,9533.0,303482436,1.0,72.3,21941780123.0,0.00957428225960684,2010-11-30,64.98,1.0,299383343.0,179650474.4,19453929628.14,24,True,
25,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,PCLN,US7415034039,2779063,PCLN.OQ,priceline.com Inc.,US,USD,NASDAQ,5759.0,49096034,1.0,404.63,19865728237.0,0.008668398296194145,2010-11-30,392.28,1.0,48387126.0,409213874.2,18981301787.28,25,True,
28,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,GENZ,US3729171047,2367598,GENZ.OQ,Genzyme Corp.,US,USD,NASDAQ,4573.0,258991017,0.9486,69.65,17111533903.0,0.007466607292742939,2010-11-30,71.22,0.9486,254839847.0,262535184.3,18149693903.34,26,True,
26,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,NTAP,US64110D1046,2630643,NTAP.OQ,NetApp Inc.,US,USD,NASDAQ,9572.0,355506941,1.0,55.38,19687974393.0,0.008590835515706604,2010-11-30,50.93,1.0,355506941.0,373279785.4,18105968505.13,27,True,
27,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,AMAT,US0382221051,2046552,AMAT.OQ,Applied Materials Inc.,US,USD,NASDAQ,9576.0,1341659938,1.0,13.61,18259991756.0,0.00796773617044772,2010-11-30,12.425,1.0,1341659938.0,212909773.9,16670124729.650002,28,True,
29,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,SPLS,US8550301027,2841489,SPLS.OQ,Staples Inc.,US,USD,NASDAQ,5379.0,729834887,1.0,22.48,16406688260.0,0.007159048329992136,2010-11-30,22.01,1.0,729834887.0,167328610.3,16063665862.87,29,True,
31,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,IDPH,US09062X1037,2455965,BIIB.OQ,Biogen Idec Inc.,US,USD,NASDAQ,4573.0,238302269,0.9398,67.98,15224560994.0,0.006643227824635898,2010-11-30,63.94,0.9398,241915236.0,138858354.9,15468060189.84,30,True,
33,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ADBE,US00724F1012,2008154,ADBE.OQ,Adobe Systems Inc.,US,USD,NASDAQ,9537.0,508716666,1.0,29.18,14844352314.0,0.006477324000995957,2010-11-30,27.74,1.0,524207111.0,370672566.4,14541505259.14,31,True,
34,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ATVI,US00507V1098,2575818,ATVI.OQ,Activision Blizzard Inc.,US,USD,NASDAQ,3747.0,1206030404,0.4131,12.21,6083158262.0,0.002654382365685844,2010-11-30,11.74,0.4131,1224397305.0,105706044.3,14374424360.7,32,True,
32,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,INTU,US4612021034,2459020,INTU.OQ,Intuit Inc.,US,USD,NASDAQ,9537.0,316760854,0.9411,49.63,14794883638.0,0.006455738374653062,2010-11-30,44.89,0.9411,316760854.0,173126108.0,14219394736.06,33,True,
35,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CMCSK,US20030N2009,2089687,CMCSK.OQ,COMCAST SPECIAL 'A',US,USD,NASDAQ,5553.0,711078811,1.0,20.56,14619780354.0,0.006379332164391081,2010-11-30,18.96,1.0,747111271.0,85624156.18,14165229698.16,34,True,
39,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,SYMC,US8715031089,2861078,SYMC.OQ,Symantec Corp.,US,USD,NASDAQ,9537.0,776254468,1.0,16.69,12955687071.0,0.0056532060839890215,2010-11-30,16.79,1.0,789341729.0,186155117.2,13253047629.91,35,True,
38,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,WYNN,US9831341071,2963811,WYNN.OQ,Wynn Resorts Ltd.,US,USD,NASDAQ,5752.0,122785540,0.7126,105.8,9257180040.0,0.004039364816077668,2010-11-30,100.96,0.8012,122785540.0,299181674.2,12396428118.4,36,True,
44,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,MRVL,BMG5876H1051,2594653,MRVL.OQ,Marvell Technology Group Ltd.,US,USD,NASDAQ,9576.0,650600000,0.8329,19.05,10322904297.0,0.00450439294005983,2010-11-30,19.28,0.8329,640025848.0,258244176.9,12339698349.44,37,True,
40,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CTXS,US1773761002,2182553,CTXS.OQ,Citrix Systems Inc.,US,USD,NASDAQ,9537.0,187774447,1.0,68.84,12926392931.0,0.005640423604019749,2010-11-30,66.35,1.0,185747839.0,244081704.1,12324369117.65,38,True,
36,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CHRW,US12541W2098,2116228,CHRW.OQ,C.H. Robinson Worldwide Inc.,US,USD,NASDAQ,2779.0,165890340,1.0,79.01,13106995763.0,0.005719229538668589,2010-11-30,73.62,1.0,165890340.0,97754646.36,12212846830.800001,39,True,
41,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,US014R,US65248E2037,B03DLY6,NWS.OQ,NEWS CORP.'B',US,USD,NASDAQ,5553.0,798520953,0.5322,16.13,6854812090.0,0.0029910930388656267,2010-11-30,15.24,0.5437,798520953.0,30247505.05,12169459323.72,40,True,
42,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CA,US12673P1057,2214832,CA.OQ,CA Inc.,US,USD,NASDAQ,9537.0,513864140,0.7562,24.8,9636884754.0,0.004205048734463513,2010-11-30,22.89,0.7562,513864140.0,84655671.42,11762350164.6,41,True,
43,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,BBBY,US0758961009,2085878,BBBY.OQ,Bed Bath & Beyond Inc.,US,USD,NASDAQ,5379.0,259110849,1.0,47.91,12414000776.0,0.0054168416023736825,2010-11-30,43.74,1.0,261952704.0,114540324.2,11457811272.960001,42,True,
45,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,EXPD,US3021301094,2325507,EXPD.OQ,Expeditors International of Wa,US,USD,NASDAQ,2771.0,213130318,1.0,55.59,11847914378.0,0.005169830150823547,2010-11-30,52.92,1.0,213130318.0,66366858.43,11278856428.56,43,True,
49,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ALTR,US0214411003,2021690,ALTR.OQ,Altera Corp.,US,USD,NASDAQ,9576.0,312563496,1.0,36.0,11252285856.0,0.0049099280116382815,2010-11-30,35.08,1.0,307223673.0,300810651.0,10777406448.84,44,True,
55,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,NFLX,US64110L1061,2857817,NFLX.OQ,Netflix Inc.,US,USD,NASDAQ,5379.0,52261855,0.8572,178.0,7974197455.0,0.0034795361543149897,2010-11-30,205.9,0.9316,52261855.0,906440376.8,10760715944.5,45,True,
51,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,FFIV,US3156161024,2427599,FFIV.OQ,F5 Networks Inc.,US,USD,NASDAQ,9578.0,80467642,1.0,135.6,10911412255.0,0.004761188025523774,2010-11-30,131.92,1.0,80467642.0,272433844.0,10615291332.64,46,True,
47,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,FSLR,US3364331070,B1HMF22,FSLR.OQ,First Solar Inc.,US,USD,NASDAQ,583.0,85554984,0.6581,132.32,7450110211.0,0.0032508510077777822,2010-11-30,122.84,0.6581,85554984.0,240234317.9,10509574234.56,47,True,
46,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,SNDK,US80004C1018,2765802,SNDK.OQ,SanDisk Corp.,US,USD,NASDAQ,9576.0,233071767,1.0,49.2,11467130936.0,0.005003675530138461,2010-11-30,44.6,1.0,233071767.0,420653993.0,10395000808.2,48,True,
50,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,PAYX,US7043261079,2674458,PAYX.OQ,Paychex Inc.,US,USD,NASDAQ,2795.0,363672900,0.8911,30.69,9945675191.0,0.004339789251701962,2010-11-30,28.57,0.8911,363672900.0,93356580.91,10390134753.0,49,True,
53,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ISRG,US46120E6023,2871301,ISRG.OQ,Intuitive Surgical Inc.,US,USD,NASDAQ,4535.0,39352498,1.0,270.5,10644850709.0,0.004644874058896884,2010-11-30,260.29,1.0,39352498.0,168562528.0,10243061704.42,50,True,
60,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,AKAM,US00971T1016,2507457,AKAM.OQ,Akamai Technologies Inc.,US,USD,NASDAQ,9535.0,181605446,1.0,49.16,8927723725.0,0.0038956067556861363,2010-11-30,52.19,1.0,181605446.0,226343674.0,9477988226.74,51,True,
56,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,MAT,US5770811025,2572303,MAT.OQ,Mattel Inc.,US,USD,NASDAQ,3747.0,361358598,1.0,25.66,9272461625.0,0.004046032926292245,2010-11-30,25.84,1.0,361358598.0,130086540.0,9337506172.32,52,True,
54,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,IVGN,US53217V1098,2397186,LIFE.OQ,Life Technologies Corp.,US,USD,NASDAQ,4573.0,186727590,1.0,55.23,10312964796.0,0.004500055844912573,2010-11-30,49.8,1.0,182607998.0,89955019.14,9093878300.4,53,True,
61,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,LINTA,US53071M1045,B144703,LINTA.OQ,Liberty Media Holding Corp. In,US,USD,NASDAQ,5553.0,564355244,1.0,15.79,8911169303.0,0.0038883832438295707,2010-11-30,15.46,1.0,564355244.0,50463618.7,8724932072.24,54,True,
57,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,MYL,US6285301072,2613804,MYL.OQ,Mylan Inc.,US,USD,NASDAQ,4577.0,435218767,1.0,21.21,9230990048.0,0.004027936829178738,2010-11-30,19.57,1.0,435218767.0,140855138.4,8517231270.190001,55,True,
67,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,NTLI,US92769L1017,B10QL56,VMED.OQ,Virgin Media Inc.,US,USD,NASDAQ,6535.0,322656356,1.0,26.2,8453596527.0,0.003688721644489067,2010-11-30,25.46,0.8749,331939005.0,85534139.97,8451167067.3,56,True,
64,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ORLY,US6860911097,2658366,ORLY.OQ,O'Reilly Automotive Inc.,US,USD,NASDAQ,5379.0,138761127,1.0,62.52,8675345660.0,0.003785481742268901,2010-11-30,60.18,1.0,138761127.0,58785612.45,8350644622.86,57,True,
62,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,FISV,US3377381088,2342034,FISV.OQ,Fiserv Inc.,US,USD,NASDAQ,2795.0,150104161,1.0,58.92,8844137166.0,0.003859133812083151,2010-11-30,55.3,1.0,150104161.0,56400271.85,8300760103.299999,58,True,
58,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ACAD,US0527691069,2065159,ADSK.OQ,Autodesk Inc.,US,USD,NASDAQ,9537.0,229265585,1.0,39.38,9028478737.0,0.003939571143194828,2010-11-30,35.29,1.0,229265585.0,105106775.6,8090782494.65,59,True,
65,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,WFMI,US9668371068,2963899,WFMI.OQ,Whole Foods Market Inc.,US,USD,NASDAQ,5337.0,170352593,0.8589,50.6,7403581612.0,0.0032305482822253054,2010-11-30,47.2,0.8589,170352593.0,111135344.5,8040642389.6,60,True,
66,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,BMCS,US0559211000,2068921,BMC.OQ,BMC Software Inc.,US,USD,NASDAQ,9537.0,178626000,1.0,48.07,8586551820.0,0.0037467366048047246,2010-11-30,44.4,1.0,178626000.0,111364680.3,7930994400.0,61,True,
75,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ROST,US7782961038,2746711,ROST.OQ,Ross Stores Inc.,US,USD,NASDAQ,5371.0,120457145,1.0,62.75,7558685849.0,0.003298227920630866,2010-11-30,64.8,1.0,122372280.0,95747457.01,7929723744.0,62,True,
63,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,FAST,US3119001044,2332262,FAST.OQ,Fastenal Co.,US,USD,NASDAQ,2797.0,147430712,1.0,59.6,8786870435.0,0.0038341455092378296,2010-11-30,53.52,0.9487,147430712.0,53621477.37,7890491706.240001,63,True,
59,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,JOYG,US4811651086,2781905,JOYG.OQ,Joy Global Inc.,US,USD,NASDAQ,2753.0,103175853,1.0,86.63,8938124145.0,0.003900144972555518,2010-11-30,76.32,1.0,103175853.0,124012638.8,7874381100.959999,64,True,
69,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,NVDA,US67066G1040,2379504,NVDA.OQ,NVIDIA Corp.,US,USD,NASDAQ,9576.0,569017105,1.0,14.31,8142634773.0,0.003553033674413312,2010-11-30,13.6,1.0,569017105.0,221076179.3,7738632628.0,65,True,
68,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,SIAL,US8265521018,2807566,SIAL.OQ,Sigma-Aldrich Corp.,US,USD,NASDAQ,1357.0,122088565,0.8839,67.08,7238876661.0,0.00315867937817154,2010-11-30,63.22,0.8839,122088565.0,40066731.88,7718439079.3,66,True,
74,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,KMRT,US8123501061,2634805,SHLD.OQ,Sears Holdings Corp.,US,USD,NASDAQ,5373.0,110648210,0.4097,68.44,3102561203.0,0.0013538006724481727,2010-11-30,65.54,0.4287,115569649.0,58259565.87,7574434795.460001,67,True,
71,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,ILMN,US4523271090,2613990,ILMN.OQ,Illumina Inc.,US,USD,NASDAQ,4573.0,124285833,1.0,64.57,8025136237.0,0.003501763260506677,2010-11-30,60.11,1.0,124285833.0,65868711.76,7470821421.63,68,True,
82,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,DLTR,US2567461080,2272476,DLTR.OQ,Dollar Tree Inc.,US,USD,NASDAQ,5379.0,126958271,1.0,56.59,7184568556.0,0.0031349820699613762,2010-11-30,54.94,1.0,132392670.0,67974416.8,7273653289.799999,69,True,
72,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,CERN,US1567821046,2185284,CERN.OQ,Cerner Corp.,US,USD,NASDAQ,9537.0,82482255,0.8672,96.05,6870323138.0,0.002997861275119104,2010-11-30,87.95,0.8672,82482255.0,53518635.3,7254314327.25,70,True,
73,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,LLTC,US5356781063,2516839,LLTC.OQ,Linear Technology Corp.,US,USD,NASDAQ,9576.0,225404643,0.9262,34.72,7248486774.0,0.0031628727450676132,2010-11-30,32.61,0.9404,221997445.0,119409532.4,7239336681.45,71,True,
70,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,MU,US5951121038,2588184,MU.OQ,Micron Technology Inc.,US,USD,NASDAQ,9576.0,994171461,0.8658,8.11,6980712109.0,0.0030460294347113004,2010-11-30,7.26,0.8658,994171461.0,254521247.8,7217684806.86,72,True,
79,2010-12-20,SWUSACGV,STOXX US All Cap,,Gross Return,USD,2513.82,2448,0.8845,1.39e+19,5519635075,BUCY,US1187591094,B018TZ0,BUCY.OQ,Bucyrus International Inc.,US,USD,NASDAQ,2753.0,80939861,0.9282,89.51,6724741203.0,0.0029343366873337824,2010-11-30,89.16,0.9282,80939861.0,212975562.7,7216598006.759999,73,True,
